label,message,target,char_count,word_count,num_sentences,clean_message
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,111,20,4,go jurong point crazi avail bugi great world la buffet cine got amor wat
ham,Ok lar... Joking wif u oni...,0,29,6,3,ok lar joke wif oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,155,28,2,free entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc appli
ham,U dun say so early hor... U c already then say...,0,49,11,3,dun say earli hor alreadi say
ham,"Nah I don't think he goes to usf, he lives around here though",0,61,13,1,nah dont think go usf life around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1,147,32,5,freemsg hey darl week word back id like fun still tb ok xxx std chg send rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,77,16,3,even brother like speak treat like aid patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,26,2,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,157,26,6,winner valu network custom select receivea prize reward claim call claim code kl valid hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,154,29,3,mobil month entitl updat latest colour mobil camera free call mobil updat co free
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,109,21,3,im gon na home soon dont want talk stuff anymor tonight ive cri enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,136,26,3,six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,155,26,5,urgent week free membership prize jackpot txt word claim tc lccltd pobox ldnw rw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,196,37,4,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,35,8,2,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,149,19,4,xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclubcomnqjkgighjjgcbl
ham,Oh k...i'm watching here:),0,26,4,2,oh kim watch
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,81,19,4,eh rememb spell name ye naughti make wet
ham,Fine if thats the way u feel. Thats the way its gota b,0,56,13,2,fine that way feel that way gota
